You are able to read the  /Users/tweeksy/Desktop/isilon script test dir/  dir
Read metadata for  11  DIRs and  161  files in (H:M:S:ms): 0:00:00.024083
Metdata size for Isilon will be: 274.04 KB



Isilon space calculator report for  /Users/tweeksy/Desktop/isilon script test dir/ with  5  nodes using  n+2  protection


Filename,Original size (KB),Isilon size(KB)
Introduction to XtremIO XDP.pdf , 832 , 1472
Manager approval Amex.tiff , 44 , 144
OneFS 8 API reference guide.pdf , 1160 , 1944
OneFS_8_0_Tech_Dive.pdf , 15008 , 25056
Unity Video links.rtf , 4 , 24
Tech Break-Disk-w-Danger.mp4 , 16964 , 28376
Tech Break-MakeItSnappy.mp4 , 48064 , 80192
Tech Break-Mistaken-Identity.mp4 , 38464 , 64192
Tech Break-Permission.mp4 , 25412 , 42456
test1 , 0 , 0
test2 , 0 , 0
test3 , 0 , 0


Original data size is:  407.0 MB
Isilon size is       :  691.37 MB
A protection overhead of  69.64 % - percentage of additional protection data

Calculation time (H:M:S:ms):   0:00:00.001620
Total running time (H:M:S:ms): 0:00:00.025746
